OBJECTID,Plant_Name,Owner,Operator,State,County,City,ZipCode,Cap_MMcfd,Plant_Flow,BTU_Content,Dry_Stor,NGL_Stor,Longitude,Latitude,Period,Source,Loc_Source,x,y
11,Arapaho Plants 1-2-3,MarkWest Oklahoma Gas Company LLC,MarkWest Oklahoma Gas Company LLC,OK,Custer,Butler,73625-5021,225,210,1220,,,-99.21717,35.7516,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11044804.8423,4266495.5258
12,Armstrong Plant,Enterprise Hydrocarbons LP,Enterprise Products Operating LLC,TX,Eddy,Yoakum,88256,200,50,1060,,1200,-97.03916,29.13389,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10802349.8782,3392698.2938
13,Arrowhead Plant,"ETC Texas Pipeline, Ltd.","ETC Texas Pipeline, Ltd.",TX,Reeves,Coyanosa,79730,220,196,1258,,1850,-103.1552,31.31371,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-11483184.3367,3673557.7271
14,Artesia,DCP Midstream,DCP Midstream,NM,Eddy,Artesia,88210,90,80,1200,0,2573,-104.21071,32.75642,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11600683.1724,3863017.2434
15,Atmore Plant,Gas Processors Inc,Gas Processors Inc,AL,Escambia,Atmore,39502,9,9,1275,,2857,-87.43715,31.17234,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-9733459.0144,3655151.0567
16,Austin Giddings,"DCP Operating Company, LP","DCP Operating Company, LP",TX,Fayette,La Grange,78945,95,90,1218,,7238,-96.87799,29.93346,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10784408.5159,3494999.6112
17,Aux Sable Liquid Products,Enbridge,,IL,Grundy,Morris,60450,2100,1633,1131,,200000,-88.30556,41.41305,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-9830129.9734,5073458.6782
18,"Aux Sable Midstream, LLC",Enbridge,,ND,Mountrail,Palermo,58769,80,56,1492,,6429,-102.22158,48.29935,2017,"EIA-757, Natural Gas Processing Plant Survey",Internet Reearch,-11379254.2337,6156801.2852
19,Azle Plant,,"Enlink Texas Processing, LP",TX,Parker,Azle,76020,50,,,,1373,-97.59602,32.82262,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10864339.2499,3871783.3335
20,Aztec Manistee,Aztec Producing Company,Aztec Producing Company,MI,Manistee,Manistee,49660,5,,1340,,1429,-86.32218,44.26337,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-9609341.1218,5506290.1698
21,Badlands Gas Plant,Hiland Partners Holdings LLC,Kinder Morgan,ND,Bowman,Rhame,58651-9789,52,19,283,,6667,-103.66757,46.08853,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11540221.1042,5794547.5825
22,Baker Natural Gas Processing Plant,ONEOK,ONEOK,MT,Fallon,Baker,59313,6,2,1500,,3200,-104.25667,46.38333,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11605799.4162,5841992.3639
23,Bakken Gas Plant,Hiland Partners Holdings  LLC,Kinder Morgan,MT,Richland,Sidney,59270,25,22,1421,,7386,-104.26334,47.79031,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11606541.9172,6072040.5181
24,Barracuda Gas Plant,Targa Resources,Targa Resources,LA,Cameron,Cameron,70631,200,81,1059,,98,-93.63701,29.76523,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10423624.2726,3473407.904
25,Battle Ridge Plant,"EnLink Midstream Services, LLC","EnLink Midstream Services, LLC",OK,Nacogdoches,Cushing,74023,95,50,1200,,802,-96.80477,35.94411,2017,"EIA-757, Natural Gas Processing Plant Survey",Internet Reearch,-10776257.7028,4292933.7169
26,Bear Creek Natural Gas Processing Plant,ONEOK,ONEOK,ND,Dunn,Killdeer,58640,80,65,1400,,,-102.78696,47.44118,2017,"EIA-757, Natural Gas Processing Plant Survey",Internet Reearch,-11442192.0474,6014385.5544
27,Bearkat Plant,,Coronado Midstream LLC,TX,Glasscock,Garden City,79739,60,40,1250,,4213,-101.49024,31.95702,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-11297841.8373,3757670.1556
28,Beaver Creek,"Breitburn Operating, L.P.","Breitburn Operating, L.P.",MI,Crawford,Grayling,49738,2,2,,,714,-84.818,44.559,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-9441896.5701,5552360.204
29,Beaver Gas Processing,ETC Field Services LLC,ETC Field Services LLC,OK,Beaver,Beaver,73932,95,68,1200,,2715,-100.9525,36.7625,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11237980.8943,4406053.8507
30,Beckville Plant,Enbridge G & P (East Texas) L.P.,Enbridge G & P (East Texas) L.P.,TX,Panola,Beckville,75631,150,119,1073,,2700,-94.26248,32.18813,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10493251.2745,3788031.0263
31,Belfield Gas Plant,Andeavor Field Services LLC,Andeavor Field Services LLC,ND,Stark,Belfield,58622,40,20,1556,,16600,-103.20735,46.85974,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11488989.6481,5919210.0454
32,Bellmon Plant,Superior Pipeline Company LLC,Superior Pipeline Company LLC,OK,Kay,Tonkawa,74653,90,27,1190,,700,-97.42638,36.62188,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-10845455.0114,4386531.9745
33,Belridge Gas Plant,Seneca Resources Corporation,Seneca Resources Corporation,CA,Kern,McKittrick,93251,14,8,1148,,8346,-119.75778,35.47436,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-13331375.0881,4228533.092
34,Benedum Complex,WTG Gas Processing LP,Wtg South Permian Midstream LLC,TX,Upton,Midkiff,79755,360,242,1278,,750,-101.77962,31.36209,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11330055.4715,3679863.2448
35,Berne Natural Gas Processing Plant,"Blue Racer Midstream, LLC","Blue Racer Midstream, LLC",OH,Monroe,Lewisville,43754,440,244,1252,,2600,-81.29131,39.77323,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-9049307.2351,4833043.195
36,Big Escambia Creek Gas Processing Plant,"Escambia Operating Company, LLC","Vanguard Natural Resourses, Inc.",AL,Escambia,Atmore,36502,50,29,900,,34000,-87.36302,31.07158,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-9725206.9006,3642048.6622
37,Big Hole Plant,Wolverine Resources LLC,Wolverine Resources LLC,CO,Moffat,,81625,305,,,,,-107.97333,40.9211,2017,"EIA-757, Natural Gas Processing Plant Survey",Internet Reearch,-12019536.1149,5000710.8882
38,Big Lake Gas Plant,Targa Midstream Services LLC,"Targa Midstream Services, LLC",LA,Calcasieu,Lake Charles,70605,200,8,1067,,,-93.28176,30.11839,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10384078.0235,3518776.8695
39,Big Lake Plant,"Lucid Energy WesTex, LLC",,TX,Reagan,Big Lake,76932,200,140,1150,,,-101.36349,31.10967,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-11283732.0918,3647000.0859
40,Binger,Mustang Ventures Company,"Mustang Gas Products, LLC",OK,Caddo,Binger,73009,15,8,1225,,,-98.32443,35.31528,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10945425.4801,4206809.4084
41,Binger Operations LLC,Legacy Reserves,Binger Operations LLC,OK,Caddo,Binger,73009,15,13,,,83,-98.29525,35.2967,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10942177.1774,4204274.9469
42,Bison Treating Facility,"Western Gas Partners, LP","Western Gas Partners, LP",WY,Campbell,Gillette,82718,270,137,927,,,-105.84101,44.1677,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11782167.3382,5491430.9275
43,Blacks Fork Gas Plant,Green River Processing,"Green River Processing, LLC",WY,Sweetwater,Granger,52934,765,443,1092,,18334,-110.04911,41.55479,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-12250610.8875,5094520.6961
44,Block 31 Plant,Oxy,,TX,Crane,Crane,79731,41,41,550,,718,-102.46233,31.44153,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11406054.4011,3690223.9547
45,Boldman,Markwest Energy Partners lp,"Markwest Energy Partners, L.P.",KY,Pike,Pikeville,41501-7067,70,32,1308,,2857,-82.61665,37.53132,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-9196843.409,4513426.9856
46,Bone Springs Gas Processing Plant,Ranch Westex JV LLC,Energy Transfer Company,TX,Ward,Barstow,79719,120,102,1250,,5700,-103.39339,31.45561,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-11509699.5262,3692061.2096
47,Bradley,Enable Products LLC,Enable Products LLC,OK,Grady,Bradley,73011,400,342,1229,,,-97.70121,34.80168,2017,"EIA-757, Natural Gas Processing Plant Survey",Internet Reearch,-10876048.9471,4136962.8017
48,Brasada Gas Plant,Western Gas Partners,Anadarko Petroleum,TX,LaSalle,Cotulla,78014,230,230,1300,,,-99.25939,28.42054,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-11049504.7513,3302098.4707
